Country,Population,Confirmed Cases,Death Cases,Recovered Cases,Active Cases,New Cases,New Deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/07/2020,Recovered,7181139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/07/2020,Active,5353468
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/07/2020,Confirmed,13328867
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/07/2020,Deaths,578468
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/07/2020,Recovered,7322897
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/07/2020,Active,5427502
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/07/2020,Confirmed,13559984
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/07/2020,Deaths,583961
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/07/2020,Recovered,7482320
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/07/2020,Active,5493703
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/07/2020,Confirmed,13812525
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/07/2020,Deaths,589760
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/07/2020,Recovered,7634241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/07/2020,Active,5588524
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/07/2020,Confirmed,14054563
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/07/2020,Deaths,596503
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/07/2020,Recovered,7793760
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/07/2020,Active,5664300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/07/2020,Confirmed,14292198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/07/2020,Deaths,602130
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/07/2020,Recovered,7944550
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/07/2020,Active,5745518
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/07/2020,Confirmed,14506845
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/07/2020,Deaths,606159
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/07/2020,Recovered,8032235
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/07/2020,Active,5868451
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/07/2020,Confirmed,14713623
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/07/2020,Deaths,610319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/07/2020,Recovered,8190777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/07/2020,Active,5912527
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/07/2020,Confirmed,14947078
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/07/2020,Deaths,616557
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/07/2020,Recovered,8364986
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/07/2020,Active,5965535
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/07/2020,Confirmed,15227725
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/07/2020,Deaths,623540
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/07/2020,Recovered,8541255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/07/2020,Active,6062930
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/07/2020,Confirmed,15510481
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/07/2020,Deaths,633506
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/07/2020,Recovered,8710969
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/07/2020,Active,6166006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/07/2020,Confirmed,15791645
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/07/2020,Deaths,639650
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/07/2020,Recovered,8939705
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/07/2020,Active,6212290
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/07/2020,Confirmed,16047190
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/07/2020,Deaths,644517
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/07/2020,Recovered,9158743
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/07/2020,Active,6243930
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/07/2020,Confirmed,16251796
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/07/2020,Deaths,648621
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/07/2020,Recovered,9293464
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/07/2020,Active,6309711
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/07/2020,Confirmed,16480485
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/07/2020,Deaths,654036
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/07/2020,Recovered,9468087
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/07/2020,Active,6358362
</pre></body></html>Ztext/plainUUTF-8(7N`vî·‚6A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
