Country,Population,Confirmed Cases,Death Cases,Recovered Cases,Active Cases,New Cases,New Deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/04/2020,Deaths,50029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/04/2020,Recovered,189434
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/04/2020,Active,708106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/04/2020,Confirmed,1028968
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/04/2020,Deaths,56334
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/04/2020,Recovered,206052
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/04/2020,Active,766582
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/04/2020,Confirmed,1112123
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/04/2020,Deaths,62319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/04/2020,Recovered,221060
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/04/2020,Active,828744
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/04/2020,Confirmed,1192586
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/04/2020,Deaths,68160
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/04/2020,Recovered,241072
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/04/2020,Active,883354
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/04/2020,Confirmed,1264304
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/04/2020,Deaths,73181
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/04/2020,Recovered,254477
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/04/2020,Active,936646
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/04/2020,Confirmed,1336976
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/04/2020,Deaths,79013
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/04/2020,Recovered,270812
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/04/2020,Active,987151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/04/2020,Confirmed,1413849
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/04/2020,Deaths,86915
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/04/2020,Recovered,293665
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/04/2020,Active,1033269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/04/2020,Confirmed,1497624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/04/2020,Deaths,93650
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/04/2020,Recovered,322017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/04/2020,Active,1081957
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/04/2020,Confirmed,1584249
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/04/2020,Deaths,101279
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/04/2020,Recovered,346349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/04/2020,Active,1136621
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/04/2020,Confirmed,1671907
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/04/2020,Deaths,108551
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/04/2020,Recovered,367477
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/04/2020,Active,1195879
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/04/2020,Confirmed,1748872
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/04/2020,Deaths,114620
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/04/2020,Recovered,392991
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/04/2020,Active,1241261
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/04/2020,Confirmed,1845653
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/04/2020,Deaths,120351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/04/2020,Recovered,411864
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/04/2020,Active,1313438
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/04/2020,Confirmed,1915247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/04/2020,Deaths,126098
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/04/2020,Recovered,438395
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/04/2020,Active,1350754
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/04/2020,Confirmed,1985174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/04/2020,Deaths,132996
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/04/2020,Recovered,463014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/04/2020,Active,1389164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/04/2020,Confirmed,2066003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/04/2020,Deaths,141308
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/04/2020,Recovered,498925
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/04/2020,Active,1425770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/04/2020,Confirmed,2162715
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/04/2020,Deaths,148591
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/04/2020,Recovered,529015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/04/2020,Active,1485109
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/04/2020,Confirmed,2250439
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/04/2020,Deaths,157481
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/04/2020,Recovered,554287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/04/2020,Active,1538671
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/04/2020,Confirmed,2324396
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/04/2020,Deaths,163952
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/04/2020,Recovered,577789
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/04/2020,Active,1582655
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/04/2020,Confirmed,2404919
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/04/2020,Deaths,168522
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/04/2020,Recovered,608557
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/04/2020,Active,1627840
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/04/2020,Confirmed,2478258
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/04/2020,Deaths,173965
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/04/2020,Recovered,629862
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/04/2020,Active,1674431
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/04/2020,Confirmed,2553508
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/04/2020,Deaths,181122
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/04/2020,Recovered,664043
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/04/2020,Active,1708343
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/04/2020,Confirmed,2630314
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/04/2020,Deaths,187877
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/04/2020,Recovered,693207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/04/2020,Active,1749230
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/04/2020,Confirmed,2719327
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/04/2020,Deaths,194727
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/04/2020,Recovered,721689
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/04/2020,Active,1802911
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/04/2020,Confirmed,2806267
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/04/2020,Deaths,201401
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/04/2020,Recovered,771329
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/04/2020,Active,1833537
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/04/2020,Confirmed,2891199
